years,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
1,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
2,79.62,78.03,77.33,78.13,76,78.02,76.48,76.6,76.5,77.5,77.32,76.86,76.88,77.3,77.2,77.28,79.18,78.06,78.31,77.7,79.81
3,81.67,79.43,79.19,80.15,77.13,79.75,78.9,78.58,79.13,80.25,79.36,79.96,78.98,79.08,78.1,79.19,81.41,79.61,80.36,82.45,81.17
4,84.72,82.4,83.49,82.39,82.16,83.81,83.46,82.05,80.22,83.43,84.19,81.96,84.26,82.73,82.52,83.91,85.26,85.36,84.61,86.16,56.77
5,84.54,84.71,85.4,86.8,86.54,83.63,87.15,85.31,85.02,87.55,88.28,85.26,87.16,87.14,86.74,86.44,88.74,90.36,89.24,89.96,87.19
6,88.91,89.08,90.58,90.49,84.34,87.09,88.46,89.78,89.64,89.84,88.97,89.32,91.62,89.29,88.98,89.16,89.62,92.86,91.58,93.86,91.4
7,86.63,86.82,87.47,90.39,87.15,89.32,87.7,85.55,87.63,90.48,86.76,89.74,90.54,87.91,90.1,88.97,87.19,91.19,91.39,94.03,90.92
8,82.97,86.02,88.69,85.12,85.89,86.81,87.48,84.17,86.07,89.61,84.75,86.54,87.06,84.77,87.82,88.67,86.78,88.67,89.8,89.86,86.16
9,84.55,85.25,85.91,84.93,87.45,86.02,85.86,82.91,84.2,85.58,84.33,85.23,85.4,84.45,85.66,86.55,87.62,86.2,87.67,88.87,86.18
10,84.32,84.21,85.13,84.15,83.44,84.55,84.43,83.32,84.12,86.98,84.09,84.95,84.78,84.3,84.12,86.69,85.24,85.96,86.41,85.61,84.3
11,80.88,81.91,79.75,79.43,81.36,79.04,81.67,81.37,80.48,85.85,83.47,82.69,82.38,83.06,82.8,83.73,84.8,84.64,83.82,83.55,85.11
12,79.67,78.07,78.35,75.84,79.69,79.19,77.5,78.29,77.67,79.72,79.96,79.14,80.17,79.51,79.65,80.12,80.24,81.21,81.91,82.94,
,77,76.41,76.98,76.74,77.75,79.19,77.57,76.75,77.28,77.41,76.62,77.38,78.64,76.73,78.21,79.73,77.55,79.28,79.75,79.95,
