S.No,Time Period,Average Temperature
1,01-2000,79.62
2,02-2000,81.67
3,03-2000,84.72
4,04-2000,84.54
5,05-2000,88.91
6,06-2000,86.63
7,07-2000,82.97
8,08-2000,84.55
9,09-2000,84.32
10,10-2000,80.88
11,11-2000,79.67
12,12-2000,77
13,01-2001,78.03
14,02-2001,79.43
15,03-2001,82.4
16,04-2001,84.71
17,05-2001,89.08
18,06-2001,86.82
19,07-2001,86.02
20,08-2001,85.25
21,09-2001,84.21
22,10-2001,81.91
23,11-2001,78.07
24,12-2001,76.41
25,01-2002,77.33
26,02-2002,79.19
27,03-2002,83.49
28,04-2002,85.4
29,05-2002,90.58
30,06-2002,87.47
31,07-2002,88.69
32,08-2002,85.91
33,09-2002,85.13
34,10-2002,79.75
35,11-2002,78.35
36,12-2002,76.98
37,01-2003,78.13
38,02-2003,80.15
39,03-2003,82.39
40,04-2003,86.8
41,05-2003,90.49
42,06-2003,90.39
43,07-2003,85.12
44,08-2003,84.93
45,09-2003,84.15
46,10-2003,79.43
47,11-2003,75.84
48,12-2003,76.74
49,01-2004,76
50,02-2004,77.13
51,03-2004,82.16
52,04-2004,86.54
53,05-2004,84.34
54,06-2004,87.15
55,07-2004,85.89
56,08-2004,87.45
57,09-2004,83.44
58,10-2004,81.36
59,11-2004,79.69
60,12-2004,77.75
61,01-2005,78.02
62,02-2005,79.75
63,03-2005,83.81
64,04-2005,83.63
65,05-2005,87.09
66,06-2005,89.32
67,07-2005,86.81
68,08-2005,86.02
69,09-2005,84.55
70,10-2005,79.04
71,11-2005,79.19
72,12-2005,79.19
73,01-2006,76.48
74,02-2006,78.9
75,03-2006,83.46
76,04-2006,87.15
77,05-2006,88.46
78,06-2006,87.7
79,07-2006,87.48
80,08-2006,85.86
81,09-2006,84.43
82,10-2006,81.67
83,11-2006,77.5
84,12-2006,77.57
85,01-2007,76.6
86,02-2007,78.58
87,03-2007,82.05
88,04-2007,85.31
89,05-2007,89.78
90,06-2007,85.55
91,07-2007,84.17
92,08-2007,82.91
93,09-2007,83.32
94,10-2007,81.37
95,11-2007,78.29
96,12-2007,76.75
97,01-2008,76.5
98,02-2008,79.13
99,03-2008,80.22
100,04-2008,85.02
101,05-2008,89.64
102,06-2008,87.63
103,07-2008,86.07
104,08-2008,84.2
105,09-2008,84.12
106,10-2008,80.48
107,11-2008,77.67
108,12-2008,77.28
109,01-2009,77.5
110,02-2009,80.25
111,03-2009,83.43
112,04-2009,87.55
113,05-2009,89.84
114,06-2009,90.48
115,07-2009,89.61
116,08-2009,85.58
117,09-2009,86.98
118,10-2009,85.85
119,11-2009,79.72
120,12-2009,77.41
121,01-2010,77.32
122,02-2010,79.36
123,03-2010,84.19
124,04-2010,88.28
125,05-2010,88.97
126,06-2010,86.76
127,07-2010,84.75
128,08-2010,84.33
129,09-2010,84.09
130,10-2010,83.47
131,11-2010,79.96
132,12-2010,76.62
133,01-2011,76.86
134,02-2011,79.96
135,03-2011,81.96
136,04-2011,85.26
137,05-2011,89.32
138,06-2011,89.74
139,07-2011,86.54
140,08-2011,85.23
141,09-2011,84.95
142,10-2011,82.69
143,11-2011,79.14
144,12-2011,77.38
145,01-2012,76.88
146,02-2012,78.98
147,03-2012,84.26
148,04-2012,87.16
149,05-2012,91.62
150,06-2012,90.54
151,07-2012,87.06
152,08-2012,85.4
153,09-2012,84.78
154,10-2012,82.38
155,11-2012,80.17
156,12-2012,78.64
157,01-2013,77.3
158,02-2013,79.08
Mar 2013,82.73
Apr 2013,87.14
May 2013,89.29
Jun 2013,87.91
Jul 2013,84.77
Aug 2013,84.45
Sep 2013,84.3
Oct 2013,83.06
Nov 2013,79.51
Dec 2013,76.73
Jan 2014,77.2
Feb 2014,78.1
Mar 2014,82.52
Apr 2014,86.74
May 2014,88.98
Jun 2014,90.1
Jul 2014,87.82
Aug 2014,85.66
Sep 2014,84.12
Oct 2014,82.8
Nov 2014,79.65
Dec 2014,78.21
Jan 2015,77.28
Feb 2015,79.19
Mar 2015,83.91
Apr 2015,86.44
May 2015,89.16
Jun 2015,88.97
Jul 2015,88.67
Aug 2015,86.55
Sep 2015,86.69
Oct 2015,83.73
Nov 2015,80.12
Dec 2015,79.73
Jan 2016,79.18
Feb 2016,81.41
Mar 2016,85.26
Apr 2016,88.74
May 2016,89.62
Jun 2016,87.19
Jul 2016,86.78
Aug 2016,87.62
Sep 2016,85.24
Oct 2016,84.8
Nov 2016,80.24
Dec 2016,77.55
Jan 2017,78.06
Feb 2017,79.61
Mar 2017,85.36
Apr 2017,90.36
May 2017,92.86
Jun 2017,91.19
Jul 2017,88.67
Aug 2017,86.2
Sep 2017,85.96
Oct 2017,84.64
Nov 2017,81.21
Dec 2017,79.28
Jan 2018,78.31
Feb 2018,80.36
Mar 2018,84.61
Apr 2018,89.24
May 2018,91.58
Jun 2018,91.39
Jul 2018,89.8
Aug 2018,87.67
Sep 2018,86.41
Oct 2018,83.82
Nov 2018,81.91
Dec 2018,79.75
Jan 2019,77.7
Feb 2019,82.45
Mar 2019,86.16
Apr 2019,89.96
May 2019,93.86
Jun 2019,94.03
Jul 2019,89.86
Aug 2019,88.87
Sep 2019,85.61
Oct 2019,83.55
Nov 2019,82.94
Dec 2019,79.95
Jan 2020,79.81
Feb 2020,81.17
Mar 2020,56.77
Apr 2020,87.19
May 2020,91.4
Jun 2020,90.92
Jul 2020,86.16
Aug 2020,86.18
Sep 2020,84.3
Oct 2020,85.11
